x,y
2.852,-2.01509
2.856,-2.01474
2.86,-2.01444
2.864,-2.0142
2.868,-2.01401
2.872,-2.01387
2.876,-2.01379
2.88,-2.01377
2.884,-2.0138
2.888,-2.01388
2.892,-2.01403
2.896,-2.01423
2.9,-2.01448
2.904,-2.01479
2.908,-2.01516
2.912,-2.01559
2.916,-2.01607
2.92,-2.01661
2.924,-2.01721
2.928,-2.01786
2.932,-2.01858
2.936,-2.01935
2.94,-2.02018
2.944,-2.02107
2.948,-2.02202
2.952,-2.02303
2.956,-2.0241
2.96,-2.02523
2.964,-2.02642
2.968,-2.02767
2.972,-2.02897
2.976,-2.03034
2.98,-2.03177
2.984,-2.03326
2.988,-2.03481
2.992,-2.03642
2.996,-2.0381
3,-2.03983
3.004,-2.04163
3.008,-2.04348
3.012,-2.0454
3.016,-2.04738
3.02,-2.04942
3.024,-2.05153
3.028,-2.0537
3.032,-2.05593
3.036,-2.05822
3.04,-2.06057
3.044,-2.06299
3.048,-2.06547
3.052,-2.06801
3.056,-2.07062
3.06,-2.07329
3.064,-2.07602
3.068,-2.07881
3.072,-2.08167
3.076,-2.08459
3.08,-2.08758
3.084,-2.09063
3.088,-2.09374
3.092,-2.09691
3.096,-2.10015
3.1,-2.10346
3.104,-2.10683
3.108,-2.11026
3.112,-2.11375
3.116,-2.11731
3.12,-2.12093
3.124,-2.12462
3.128,-2.12837
3.132,-2.13218
3.136,-2.13606
3.14,-2.14001
3.144,-2.14401
3.148,-2.14808
3.152,-2.15222
3.156,-2.15642
3.16,-2.16068
3.164,-2.165
3.168,-2.16939
3.172,-2.17385
3.176,-2.17837
3.18,-2.18295
3.184,-2.18759
3.188,-2.1923
3.192,-2.19708
3.196,-2.20191
3.2,-2.20682
3.204,-2.21178
3.208,-2.21681
3.212,-2.2219
3.216,-2.22705
3.22,-2.23227
3.224,-2.23755
3.228,-2.2429
3.232,-2.2483
3.236,-2.25377
3.24,-2.25931
3.244,-2.2649
3.248,-2.27056
3.252,-2.27628
3.256,-2.28206
3.26,-2.28791
3.264,-2.29382
3.268,-2.29979
3.272,-2.30582
3.276,-2.31191
